a,10000001
b,11000001
c,10001000
d,10001100
e,10000100
f,11001000
g,11001100
h,11000100
i,01001000
j,01001100
k,10100001
l,11100001
m,10101000
n,10101100
o,10100100
p,11101000
q,11101100
r,11100100
s,01101000
t,01101100
u,10100010
v,11100010
w,01001110
x,10101010
y,10101110
z,10100110
 ,00010001
,,01000001
;,01100001
',00100001
:,01000100
-,00100010
.,01000110
.,00011010
!,01100100
",01100010
",00100110
/,00101000
(,01100110
